,Unnamed: 0,year,rank,title,wikilink,network,rating,show_id,genre_id,genre,overview,camera,ai_guess,groundtruth
65,140,1954,19,Private Secretary,//en.wikipedia.org/wiki/Private_Secretary_(TV_series),CBS,32.2,10666,35,comedy,"Private Secretary is an American sitcom that aired from February 1, 1953 to September 10, 1957 on CBS, alternating with The Jack Benny Program on Sundays at 7:30pm EST. The series stars Ann Sothern as Susan Camille ""Susie"" MacNamara, devoted secretary to handsome talent agent Peter Sands, played by Don Porter.",Unknown,unknown,unknown
275,560,1968,11,Bewitched,//en.wikipedia.org/wiki/Bewitched,ABC,23.3,4482,"10765,35,10751,18",comedy,"Samantha Stephens is a seemingly normal suburban housewife who also happens to be a genuine witch, with all the requisite magical powers. Her husband Darrin insists that Samantha keep her witchcraft under wraps, but situations invariably require her to indulge her powers while keeping her bothersome mother Endora at bay.",Single-camera,studio_audience,canned_laugh_track
610,1219,1990,7,Empty Nest,//en.wikipedia.org/wiki/Empty_Nest,NBC,16.7,2823,"10751,35",comedy,"Widowed pediatrician Harry Weston is a miracle worker when it comes to dealing with his young patients, but he's more challenged by the other people surrounding him: daughters Barbara and Carol; his wisecracking office assistant, nurse LaVerne Todd; and obnoxious neighborhood mooch Charley Dietz. Thank goodness he always finds a friendly shoulder (and a warm, wet tongue) in Dreyfuss, his enormous dog.",Multi-camera,studio_audience,studio_audience
401,829,1977,10,One Day at a Time,//en.wikipedia.org/wiki/One_Day_at_a_Time_(1975_TV_series),CBS,23,2191,35,comedy,"The misadventures of a divorced mother,  two teenage daughters, and new building superintendent in Indianapolis.",Unknown,studio_audience,studio_audience
791,1604,2002,19,Still Standing,//en.wikipedia.org/wiki/Still_Standing_(American_TV_series),CBS,9.4,402,35,comedy,"After 18 years of marriage, high school sweethearts Bill and Judy Miller still make each other laugh and try to keep their marriage intact, even when their family pulls them in different directions. Since Bill has a far more immature approach to marriage and raising their three children than Judy does, they work at striking a balance and remembering why they love each other, quirks and all.",Unknown,unknown,studio_audience
35,85,1952,25,Amos 'n' Andy,//en.wikipedia.org/wiki/Amos_'n'_Andy,CBS,34.4,11111,35,comedy,"A pair of friends in Harlem find themselves caught up in a series of misadventures, business schemes, and everyday problems, often relying on their neighbors and community to help them out of trouble.",Unknown,unknown,unknown
11,31,1951,1,Arthur Godfrey's Talent Scouts,//en.wikipedia.org/wiki/Arthur_Godfrey's_Talent_Scouts#Television,CBS,53.8,9977,35,comedy,"Arthur Godfrey's Talent Scouts is an American radio and television variety show which ran on CBS from 1946 until 1958. Sponsored by Lipton Tea, it stars Arthur Godfrey, who was also hosting Arthur Godfrey and His Friends at the same time.",Multi-camera,studio_audience,studio_audience
100,208,1956,26,What's My Line?,//en.wikipedia.org/wiki/What's_My_Line%3F,CBS,28.9,26663,"10751,35",comedy,"Four panelists must determine guests' occupations - and, in the case of famous guests, while blindfolded, their identity - by asking only ""yes"" or ""no"" questions.",Unknown,studio_audience,studio_audience
657,1293,1992,20,Hearts Afire,//en.wikipedia.org/wiki/Hearts_Afire,CBS,14.3,2779,35,comedy,"Frustrations and sparks fly in Washington, D.C. when a strict conservative hires a free spirited journalist as his boss's press secretary. Their mismatched political views lead to arguments... and attraction.",Multi-camera,studio_audience,studio_audience
571,1159,1988,7,Who's the Boss?,//en.wikipedia.org/wiki/Who's_the_Boss%3F,ABC,20.8,634,35,comedy,"A former professional baseball player, along with his preteen daughter, moves into New York advertising executive Angela Bower's house to be both a housekeeper and a father figure to her young son. Tony 's laid-back personality contrasts with Angela's type-A behavior.",Multi-camera,studio_audience,studio_audience
641,1264,1991,22,The Fresh Prince of Bel-Air,//en.wikipedia.org/wiki/The_Fresh_Prince_of_Bel-Air,NBC,14.3,1892,"3,510,751",comedy,"Will, a street-smart teenager, moves from the tough streets of West Philly to posh Bel-Air to live with his Uncle Philip, Aunt Vivian, his cousins — spoiled Hilary, preppy Carlton and young Ashley — and their sophisticated British butler, Geoffrey. Though Will’s antics and upbringing contrast greatly with the upper-class lifestyle of his extended relatives, he soon finds himself right at home as a loved part of the family.",Multi-camera,studio_audience,studio_audience
375,783,1975,24,Good Times,//en.wikipedia.org/wiki/Good_Times,CBS,21,154,35,comedy,"Good Times is an American sitcom that originally aired from February 8, 1974, until August 1, 1979, on the CBS television network. It was created by Eric Monte and Mike Evans, and developed by Norman Lear, the series' primary executive producer. Good Times is a spin-off of Maude, which is itself a spin-off of All in the Family along with The Jeffersons.

The series is set in Chicago. The first two seasons were taped at CBS Television City in Hollywood. In the fall of 1975, the show moved to Metromedia Square, where Norman Lear's own production company was housed.",Multi-camera,studio_audience,studio_audience
726,1425,1996,27,3rd Rock from the Sun,//en.wikipedia.org/wiki/3rd_Rock_from_the_Sun,NBC,10.8,155,"10751,10765,35,18",comedy,"The high commander of an alien expedition lands on Earth -- what he considers to be the least-important planet -- in human form as Dick Solomon. Along for the ride are his alien compatriots Harry, Sally and Tommy -- who is the eldest of the group but is now angrily trapped in a teen's body.",Multi-camera,studio_audience,studio_audience
393,818,1976,29,The Tony Randall Show,//en.wikipedia.org/wiki/The_Tony_Randall_Show,ABC,20.1,14257,35,comedy,Walter Franklin is a somewhat less-than-magisterial Philadelphia judge put upon by an assortment of family and courtroom recidivists.,Unknown,studio_audience,studio_audience
53,117,1953,27,General Electric Theater,//en.wikipedia.org/wiki/General_Electric_Theater,CBS,29.9,4520,"35,18",comedy,General Electric Theater is an American anthology series hosted by Ronald Reagan that was broadcast on CBS radio and television. The series was sponsored by General Electric's Department of Public Relations.,Unknown,canned_laugh_track,studio_audience
755,1497,1999,6,Frasier,//en.wikipedia.org/wiki/Frasier,NBC,13.6,3452,"3,510,751",comedy,"After many years spent at the “Cheers” bar, Frasier moves back home to Seattle to work as a radio psychiatrist after his policeman father gets shot in the hip on duty.",Multi-camera,studio_audience,studio_audience
854,1973,2014,23,Modern Family,//en.wikipedia.org/wiki/Modern_Family,ABC,7.5,1421,35,comedy,"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.",Single-camera,studio_audience,no_added_laughter
238,490,1966,5,The Jackie Gleason Show,//en.wikipedia.org/wiki/The_Jackie_Gleason_Show#American_Scene_Magazine,CBS,25.3,950,35,comedy,"The prodigiously talented Gleason became a TV icon after he joined CBS from DuMont, where his work on `Calvalcade of Stars' had established many of his trademark characters, including Reginald Van Gleason III, the Poor Soul and Ralph Kramden, featured here, along with Art Carney, in `Honeymooners' sketches. The Emmy-winning mix also featured guest stars, musical comedy, the glitzy June Taylor Dancers and Frank Fontaine's Crazy Guggenheim character.",Multi-camera,studio_audience,studio_audience
173,385,1962,19,Lassie,//en.wikipedia.org/wiki/Lassie_(1954_TV_series),CBS,23.3,5368,"10759,18,10751,35",comedy,"Lassie is the pet of Jeff Miller, an 11-year-old farm boy. The two become best friends and enjoy family adventures in the American countryside, teaching each other about love, nature and commitment.",Unknown,unknown,no_added_laughter
291,588,1969,10,The Doris Day Show,//en.wikipedia.org/wiki/The_Doris_Day_Show,CBS,22.8,10099,"35,37",comedy,"The Doris Day Show is an American sitcom that was originally broadcast on the CBS network from September 1968 until March 1973, remaining on the air for five seasons and 128 episodes. In addition to showcasing Doris Day, the show is remembered for its many abrupt format changes over the course of its five-year run. It is also remembered for Day's statement, in her autobiography Doris Day: Her Own Story, that her husband Martin Melcher had signed her to do the TV series without her knowledge, a fact she only discovered when Melcher died of heart disease on April 20, 1968. The TV show premiered on Tuesday, September 24, 1968.",Unknown,studio_audience,canned_laugh_track
721,1414,1996,17,Spin City,//en.wikipedia.org/wiki/Spin_City,ABC,11.7,2359,"35,18",comedy,"Workaholic Mike Flaherty is the Deputy Mayor of New York City, serving as Mayor Randall Winston's key strategist and much-needed handler. Mike runs the city with the help of his oddball staff: an anxious and insecure press secretary; a sexist, boorish chief of staff; an impeccably groomed gay activist running minority affairs; a sharp and efficient, man-crazy accountant; and an idealistic young speechwriter. Like Mike, they are all professionally capable but personally challenged.",Multi-camera,studio_audience,studio_audience
0,0,1950,1,Texaco Star Theater,//en.wikipedia.org/wiki/Texaco_Star_Theatre#Television,NBC,61.6,469,35,comedy,"Texaco Star Theater is an American comedy-variety show, broadcast on radio from 1938 to 1949 and telecast from 1948 to 1956. It was one of the first successful examples of American television broadcasting, remembered as the show that gave Milton Berle the nickname ""Mr. Television"".

The classic 1940–44 version of the program, hosted by radio's Fred Allen, was followed by a radio series on ABC in the spring of 1948. When Texaco first took it to television on NBC on June 8, 1948, the show had a huge cultural impact.",Unknown,canned_laugh_track,studio_audience
790,1597,2002,13,Scrubs,//en.wikipedia.org/wiki/Scrubs_(TV_series),NBC,10.3,4556,35,comedy,"In the unreal world of Sacred Heart Hospital, John ""J.D."" Dorian learns the ways of medicine, friendship and life.",Unknown,no_added_laughter,no_added_laughter
503,1028,1983,25,Webster,//en.wikipedia.org/wiki/Webster_(TV_series),ABC,17.2,3804,35,comedy,"Webster is an American situation comedy that aired on ABC from September 16, 1983 until May 8, 1987, and in first-run syndication from September 21, 1987 until March 10, 1989. The series was created by Stu Silver.

The show stars Emmanuel Lewis in the title role as a young boy who, after losing his parents, is adopted by his NFL-pro godfather, portrayed by Alex Karras, and his new socialite wife, played by Susan Clark. The focus was largely on how this impulsively married couple had to adjust to their new lives and sudden parenthood, but it was the congenial Webster himself who drove much of the plot. The series was produced by Georgian Bay Ltd., Emmanuel Lewis Entertainment Enterprises, Inc. and Paramount Television.

Like NBC's earlier hit Diff'rent Strokes, Webster featured a young African-American boy adopted by a white family.",Unknown,studio_audience,studio_audience
531,1093,1986,1,The Cosby Show,//en.wikipedia.org/wiki/The_Cosby_Show,NBC,34.9,1759,"3,510,751",comedy,"The Cosby Show is an American television situation comedy starring Bill Cosby, which aired for eight seasons on NBC from September 20, 1984 until April 30, 1992. The show focuses on the Huxtable family, an upper middle-class African-American family living in Brooklyn, New York.",Multi-camera,studio_audience,studio_audience
627,1244,1991,2,Roseanne,//en.wikipedia.org/wiki/Roseanne,ABC,19.9,2706,35,comedy,"A working-class family struggles to get by on a limited income in the fictional town of Lanford, Illinois.",Unknown,studio_audience,studio_audience
718,1405,1996,8,The Single Guy,//en.wikipedia.org/wiki/The_Single_Guy,NBC,14.1,2036,35,comedy,,Multi-camera,no_added_laughter,studio_audience
249,508,1966,23,Petticoat Junction,//en.wikipedia.org/wiki/Petticoat_Junction,CBS,20.9,3346,"3,510,751",comedy,The Bradley family are proud owners of the Shady Rest Hotel. Kate and her three young daughters do the job of running the hotel.,Single-camera,studio_audience,canned_laugh_track
533,1095,1986,3,Cheers,//en.wikipedia.org/wiki/Cheers,NBC,27.2,141,35,comedy,The story about a blue-collar Boston bar run by former sports star Sam Malone and the quirky and wonderful people who worked and drank there.,Multi-camera,studio_audience,studio_audience
60,129,1954,8,The George Gobel Show,//en.wikipedia.org/wiki/The_George_Gobel_Show,NBC,35.2,26027,35,comedy,The George Gobel Show is an American television series hosted George Gobel that aired on NBC from 1954 to 1960.,Unknown,studio_audience,studio_audience
359,755,1974,25,Tony Orlando & Dawn,//en.wikipedia.org/wiki/Tony_Orlando_and_Dawn_(TV_series),CBS,20.7,32165,"10751,35",comedy,"CBS gave the group a television variety show (entitled Tony Orlando and Dawn) from the summer of 1974, after The Sonny and Cher Comedy Hour ended its run, until December 1976. The show was in the same vein as its predecessor (with sketches featuring sarcastic back-and-forth banter between Orlando, Hopkins and Vincent, similar to the sarcastic dialogue between Sonny and Cher) and became a Top 20 hit.

They are most famous for ""Tie a Yellow Ribbon"" &amp;  ""Knock Three Times""!",Unknown,studio_audience,studio_audience
807,1669,2004,24,Boston Legal,//en.wikipedia.org/wiki/Boston_Legal,ABC,8.1,4598,"35,18",comedy,Alan Shore and Denny Crane lead a brigade of high-priced civil litigators in an upscale Boston law firm in a series focusing on the professional and personal lives of brilliant but often emotionally challenged attorneys. A spin-off of long-running series The Practice.,Unknown,studio_audience,no_added_laughter
408,846,1977,26,Family,//en.wikipedia.org/wiki/Family_(1976_TV_series),ABC,19.9,1434,"16,35",comedy,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.",Unknown,unknown,no_added_laughter
268,549,1968,1,Rowan & Martin's Laugh-In,//en.wikipedia.org/wiki/Rowan_&_Martin's_Laugh-In,NBC,31.8,9895,35,comedy,An American sketch comedy television program hosted by comedians Dan Rowan and Dick Martin.,Unknown,studio_audience,studio_audience
22,50,1951,20,All Star Revue,//en.wikipedia.org/wiki/Four_Star_Revue,NBC,36.3,52732,35,comedy,"All Star Summer Revue aired on NBC from June 28 to August 30, 1952. The summer series had no regular hosts and very little relationship to the regular season show All Star Revue.",Unknown,unknown,studio_audience
450,906,1979,27,Mork & Mindy,//en.wikipedia.org/wiki/Mork_&_Mindy,ABC,20.2,2552,"351,075,110,765",comedy,A wacky alien comes to Earth to study its residents and the life of the human woman he boards with is never the same.,Multi-camera,studio_audience,studio_audience
38,91,1953,1,I Love Lucy,//en.wikipedia.org/wiki/I_Love_Lucy,CBS,58.8,2730,"3,510,751",comedy,"Cuban Bandleader Ricky Ricardo would be happy if his wife Lucy would just be a housewife. Instead she tries constantly to perform at the Tropicana where he works, and make life comically frantic in the apartment building they share with landlords Fred and Ethel Mertz, who also happen to be their best friends.",Multi-camera,canned_laugh_track,canned_laugh_track
886,2163,2020,29,The Rookie,//en.wikipedia.org/wiki/The_Rookie_(TV_series),ABC,7.11,79744,"80,18,35",comedy,"Starting over isn't easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force's oldest rookie, he's met with skepticism from some higher-ups who see him as just a walking midlife crisis.",Unknown,unknown,no_added_laughter
744,1463,1998,3,Frasier,//en.wikipedia.org/wiki/Frasier,NBC,15.6,3452,"3,510,751",comedy,"After many years spent at the “Cheers” bar, Frasier moves back home to Seattle to work as a radio psychiatrist after his policeman father gets shot in the hip on duty.",Multi-camera,studio_audience,studio_audience
475,951,1981,10,One Day at a Time,//en.wikipedia.org/wiki/One_Day_at_a_Time_(1975_TV_series),CBS,22,2191,35,comedy,"The misadventures of a divorced mother,  two teenage daughters, and new building superintendent in Indianapolis.",Unknown,unknown,studio_audience
819,1756,2007,19,Samantha Who?,//en.wikipedia.org/wiki/Samantha_Who%3F,ABC,8,2739,35,comedy,"Samantha Newly has been a bad, bad girl. But thanks to an 8-day coma, she can't remember a thing. Fortunately her best friend Andrea is by her side with a cocktail and the 4-1-1 on every dirty deed. But the more Sam pieces together her past, the less she likes her old self. Maybe this is a chance to start over and do it all again.",Single-camera,studio_audience,no_added_laughter
788,1592,2002,7,Everybody Loves Raymond,//en.wikipedia.org/wiki/Everybody_Loves_Raymond,CBS,11.9,2140,35,comedy,"Ray Barone is a successful sportswriter living on Long Island with his wife Debra, daughter Ally, and twin sons, Geoffrey and Michael. Ray's meddling parents, Frank and Marie, and brother, Robert, live directly across the street.",Multi-camera,studio_audience,studio_audience
129,292,1959,19,Maverick,//en.wikipedia.org/wiki/Maverick_(TV_series),ABC,25.2,953,"35,37",comedy,"The Maverick boys - Bret, Bart, Beau and Brent - are a clan of well-dressed dandies, gamblers who'd much rather make their money playing cards than messing up their fine clothing with actual work. Sly and clever, none of the Mavericks are much for acts of derring do, but they can be courageous when the situation calls for it. Most often, however, they live by their wits and considerable charm.",Unknown,studio_audience,no_added_laughter
711,1394,1995,24,Can't Hurry Love,//en.wikipedia.org/wiki/Can't_Hurry_Love,CBS,11.4,15595,35,comedy,A single 30-something woman living in New York searches for romance with the help -- or hindrance -- of her three friends.,Multi-camera,unknown,studio_audience
445,901,1979,22,WKRP in Cincinnati,//en.wikipedia.org/wiki/WKRP_in_Cincinnati,CBS,20.7,971,35,comedy,"When a Cincinnati radio station switches from sedate music to top-40 rock 'n' roll, its staff of oddball characters is forced to switch gears quickly. New programming director Andy Travis brings in a new DJ named Venus Flytrap to work with the station's burned-out veteran, Dr. Johnny Fever. Neurotic newsman Les Nessman, eager beaver Bailey Quarters, sleazy salesman Herb Tarlek, blonde bombshell Jennifer Marlowe, who serves as the station's ultra-capable receptionist, and station manager Arthur Carlson, whose domineering mother owns WKRP, round out the eccentric bunch.",Multi-camera,studio_audience,studio_audience
211,446,1964,21,The Jackie Gleason Show,//en.wikipedia.org/wiki/The_Jackie_Gleason_Show#American_Scene_Magazine,CBS,24.4,950,35,comedy,"The prodigiously talented Gleason became a TV icon after he joined CBS from DuMont, where his work on `Calvalcade of Stars' had established many of his trademark characters, including Reginald Van Gleason III, the Poor Soul and Ralph Kramden, featured here, along with Art Carney, in `Honeymooners' sketches. The Emmy-winning mix also featured guest stars, musical comedy, the glitzy June Taylor Dancers and Frank Fontaine's Crazy Guggenheim character.",Multi-camera,studio_audience,studio_audience
763,1518,1999,27,Family Law,//en.wikipedia.org/wiki/Family_Law_(American_TV_series),CBS,9,9877,"18,35,80",comedy,"Family attorney and mom, Lynn Holt, has had to scramble to keep her family and her law firm together, since her husband left her and took most of their joint law practice with him. Although the attorneys are carting plenty of life's baggage, they're all determined to make the most of this unexpected second chance—and make each month's mortgage payment.",Unknown,unknown,no_added_laughter
70,149,1954,28,The Loretta Young Show,//en.wikipedia.org/wiki/Letter_to_Loretta,NBC,27.7,7900,"35,18",comedy,"The New Loretta Young Show, is an American television series, which aired for twenty-six weekly episodes on CBS television from September 24, 1962 to March 18, 1963, features Loretta Young in a combination drama and situation comedy about a free-lance writer in suburban Connecticut named Christine Massey, the widowed mother of seven children. The program is the only one in which Young starred as a recurring character. Her previous anthology series on NBC placed her in the role of hostess and occasional star. Young is the first star to garner both Academy and Emmy awards, one of a relatively few to make the transition from motion picture to television.

Though it followed the popular The Andy Griffith Show on CBS, The New Loretta Young Show, sponsored by Lever Brothers, proved unable to sustain the needed audience in competition at 10 p.m. Eastern time on Mondays with the ABC medical drama Ben Casey starring Vince Edwards and Sam Jaffe, which entered its second season. NBC fielded David Brinkley's Journal at the same time, reflections of the news correspondent David Brinkley. The New Loretta Young Show was hence quietly dropped at the end of winter in 1963. Young had formed LYL Production Company for the series, an indication that she did not expect a premature end to the program. Norman Foster directed most of the episodes; John London and Ruth Roberts were the producers.",Single-camera,studio_audience,canned_laugh_track
132,299,1959,26,You Bet Your Life,//en.wikipedia.org/wiki/You_Bet_Your_Life,NBC,24,4473,35,comedy,"You Bet Your Life is an American quiz show that aired on both radio and television. The original and best-known version was hosted by Groucho Marx of the Marx Brothers, with announcer and assistant George Fenneman. The show debuted on ABC Radio in October 1947, then moved to CBS Radio in September 1949 before making the transition to NBC-TV in October 1950. Because of its simple format, it was possible to broadcast the show simultaneously on the radio and on television. In 1960, the show was renamed The Groucho Show and ran a further year. Most episodes are in the public domain.

The play of the game, however, was secondary to the interplay between Groucho, the contestants, and occasionally Fenneman. The program was rerun into the 1970s, and later in syndication as The Best of Groucho. As such, it was the first game show to have its reruns syndicated.",Unknown,studio_audience,studio_audience
501,1025,1983,23,Newhart,//en.wikipedia.org/wiki/Newhart,CBS,18,3004,"35,18",comedy,"Dick Loudon and his wife Joanna decide to leave life in New York City and buy a little inn in Vermont. Dick is a how-to book writer, who eventually becomes a local TV celebrity as host of ""Vermont Today."" George Utley is the handyman at the inn and Leslie Vanderkellen is the maid, with ambitions of being an Olympic Ski champion; she is later replaced by her cousin Stephanie, an heiress who hates her job. Her boyfriend is Dick's yuppie TV producer, Michael Harris. There are many other quirky characters in this fictional little town, including Dick's neighbors Larry, Darryl, and Darryl...three brothers who buy the Minuteman Cafe from Kirk Devane. Besides sharing a name, Darryl and Darryl never speak.",Unknown,studio_audience,studio_audience
177,397,1963,3,The Dick Van Dyke Show,//en.wikipedia.org/wiki/The_Dick_Van_Dyke_Show,CBS,33.3,2132,35,comedy,"The Dick Van Dyke Show centers around the work and home life of television comedy writer Rob Petrie. The plots generally revolve around problems at work, where Rob got into various comedic jams with fellow writers Buddy Sorrell, Sally Rogers and producer Mel Cooley.",Unknown,studio_audience,studio_audience
730,1432,1997,3,Veronica's Closet,//en.wikipedia.org/wiki/Veronica's_Closet,NBC,16.6,603,35,comedy,"Veronica 'Ronnie' Chase is the 'Queen of Romance.' Founder of a successful lingerie empire, and best-selling author of self-help romance books, Ronnie has it all ... money, success, sex appeal and a philandering husband. How she will find true happiness without jeopardizing her business will be her biggest challenge yet. ",Multi-camera,studio_audience,studio_audience
151,344,1961,11,My Three Sons,//en.wikipedia.org/wiki/My_Three_Sons,ABC,24.7,1530,"3,510,751",comedy,"A widower and aeronautical engineer named Steven Douglas raises three sons with the help of his father-in-law, and later the boys' great-uncle. An adopted son, a stepdaughter, wives, and another generation of sons join the loving family in later seasons.",Unknown,studio_audience,canned_laugh_track
555,1133,1987,10,The Wonder Years,//en.wikipedia.org/wiki/The_Wonder_Years,ABC,18.8,4500,"35,18,10751",comedy,"The story of Kevin Arnold facing the trials and tribulations of youth while growing up during the 1960s and 70s. Told through narration from an adult Kevin, Kevin faces the difficulties of maintaining relationships and friendships on his enthralling journey into adulthood.",Single-camera,studio_audience,no_added_laughter
549,1125,1987,3,Cheers,//en.wikipedia.org/wiki/Cheers,NBC,23.4,141,35,comedy,The story about a blue-collar Boston bar run by former sports star Sam Malone and the quirky and wonderful people who worked and drank there.,Multi-camera,studio_audience,studio_audience
519,1070,1985,7,The Golden Girls,//en.wikipedia.org/wiki/The_Golden_Girls,NBC,21.8,1678,35,comedy,"Four Southern Florida seniors share a house, their dreams, and a whole lot of cheesecake. Bright, promiscuous, clueless and hilarious, these lovely, mismatched ladies form the perfect circle of friends.",Multi-camera,studio_audience,studio_audience
321,661,1971,23,The Carol Burnett Show,//en.wikipedia.org/wiki/The_Carol_Burnett_Show,CBS,21.2,1027,"3,510,751",comedy,"The Carol Burnett Show is an American variety/sketch comedy television show starring Carol Burnett, Harvey Korman, Vicki Lawrence, Lyle Waggoner, and Tim Conway. It originally ran on CBS from September 11, 1967, to March 29, 1978, for 278 episodes and originated from CBS Television City's Studio 33. The series won 25 prime time Emmy Awards, was ranked No. 16 on TV Guide's 50 Greatest TV Shows of All Time in 2002 and in 2007 was listed as one of Time magazine's ""100 Best TV Shows of All Time.""",Multi-camera,studio_audience,studio_audience
17,39,1951,9,The Jack Benny Show,//en.wikipedia.org/wiki/The_Jack_Benny_Program#Television,CBS,42.8,10151,35,comedy,Laugh along with funnyman Jack Benny as he brings his underplayed humor to TV along with regular performers from his radio show days.,Unknown,studio_audience,studio_audience
19,41,1951,11,Mama,//en.wikipedia.org/wiki/Mama_(American_TV_series),CBS,41.3,2016,35,comedy,"Thelma Harper and her spinster sister Fran open their home to Thelma's recently divorced son Vinton and his teenage son and daughter. It's quite an adjustment for everyone, especially the cranky, argumentative Thelma.",Unknown,unknown,no_added_laughter
406,837,1977,17,Barney Miller,//en.wikipedia.org/wiki/Barney_Miller,ABC,21.4,3253,35,comedy,"Barney Miller is the kind of cop we'd all like to run into. Always sensible, he maintains order over a band of detectives who gamble, hit on anything in skirts, go to renaissance philosophy conventions for fun, and would really prefer to be writing. Nearly all of the action takes place in the squad room where citizens and criminals are brought in to complicate the mix.",Multi-camera,unknown,studio_audience
780,1567,2001,14,Frasier,//en.wikipedia.org/wiki/Frasier,NBC,9.9,3452,"3,510,751",comedy,"After many years spent at the “Cheers” bar, Frasier moves back home to Seattle to work as a radio psychiatrist after his policeman father gets shot in the hip on duty.",Multi-camera,studio_audience,studio_audience
785,1578,2001,25,Baby Bob,//en.wikipedia.org/wiki/Baby_Bob,CBS,8.1,10212,"3,510,751",comedy,"Baby Bob is an American sitcom that aired on CBS as a midseason replacement in March 2002. The Baby Bob character had previously been on television since February 2000, appearing in commercials for FreeInternet.com. While actual infants played Bob, the effect to make him look like he was talking was achieved through computer editing.",Unknown,unknown,canned_laugh_track
